iter	Passed	Remaining
0	48	48887
1	49	24646
2	49	16568
3	50	12523
4	50	10104
5	51	8468
6	51	7319
7	52	6448
8	52	5770
9	52	5242
10	53	4795
11	53	4424
12	54	4108
13	54	3840
14	54	3601
15	55	3402
16	55	3225
17	56	3067
18	56	2924
19	57	2794
20	57	2678
21	57	2572
22	58	2477
23	58	2386
24	59	2305
25	59	2229
26	59	2161
27	60	2095
28	60	2034
29	60	1971
30	61	1919
31	61	1868
32	62	1823
33	62	1779
34	62	1736
35	63	1698
36	63	1661
37	64	1624
38	64	1591
39	64	1554
40	65	1524
41	65	1495
42	65	1468
43	66	1442
44	66	1417
45	67	1393
46	67	1371
47	68	1349
48	68	1327
49	68	1308
50	69	1288
51	69	1270
52	70	1252
53	70	1235
54	70	1217
55	71	1202
56	71	1187
57	72	1171
58	72	1155
59	72	1141
60	73	1128
61	73	1114
62	73	1099
63	74	1087
64	74	1072
65	74	1057
66	75	1046
67	75	1035
68	75	1025
69	76	1012
70	76	1001
71	76	991
72	77	983
73	77	974
74	78	965
75	79	961
76	79	952
77	79	944
78	80	937
79	80	927
80	80	916
81	81	910
82	81	903
83	82	894
84	82	887
85	82	881
86	83	872
87	83	865
88	83	858
89	84	851
90	84	845
91	85	839
92	85	833
93	85	828
94	86	822
95	86	816
96	87	811
97	87	806
98	88	801
99	88	796
100	88	791
101	89	785
102	89	781
103	90	776
104	90	770
105	91	768
106	91	763
107	91	759
108	92	755
109	92	752
110	93	747
111	93	743
112	94	739
113	94	735
114	95	731
115	95	727
116	95	723
117	96	718
118	96	714
119	96	710
120	97	707
121	97	703
122	98	699
123	98	695
124	98	692
125	99	687
126	99	685
127	100	681
128	100	678
129	100	675
130	101	671
131	101	668
132	102	664
133	102	661
134	102	658
135	103	655
136	103	651
137	103	648
138	104	645
139	104	643
140	105	640
141	105	637
142	105	634
143	106	631
144	106	628
145	107	625
146	107	623
147	107	621
148	108	618
149	108	616
150	109	613
151	109	613
152	110	611
153	110	608
154	111	606
155	111	603
156	111	601
157	112	599
158	112	597
159	113	595
160	113	592
161	114	590
162	114	588
163	114	586
164	115	584
165	115	582
166	116	580
167	116	578
168	117	576
169	117	574
170	118	572
171	118	570
172	118	568
173	119	566
174	119	564
175	120	562
176	120	560
177	120	558
178	121	556
179	122	556
180	122	554
181	122	552
182	123	550
183	123	549
184	124	547
185	124	545
186	125	543
187	125	541
188	125	540
189	126	539
190	126	537
191	127	535
192	127	533
193	128	532
194	128	531
195	129	529
196	129	529
197	130	527
198	130	526
199	131	525
200	131	523
201	132	521
202	132	520
203	132	518
204	133	517
205	133	516
206	134	514
207	134	513
208	135	512
209	135	510
210	136	509
211	136	506
212	136	505
213	137	504
214	137	503
215	138	502
216	138	500
217	139	499
218	139	497
219	140	496
220	140	495
221	141	494
222	141	493
223	142	492
224	142	491
225	143	489
226	143	488
227	143	487
228	144	485
229	144	484
230	145	483
231	145	482
232	146	480
233	146	479
234	146	478
235	147	477
236	147	476
237	148	475
238	148	474
239	149	473
240	150	472
241	150	471
242	150	470
243	151	468
244	151	467
245	152	466
246	152	465
247	152	463
248	153	463
249	153	461
250	154	460
251	154	459
252	155	458
253	155	457
254	156	456
255	156	454
256	157	453
257	157	452
258	157	451
259	158	451
260	158	449
261	159	449
262	159	448
263	160	446
264	160	445
265	161	445
266	161	443
267	162	442
268	162	441
269	163	440
270	163	440
271	164	439
272	164	438
273	165	437
274	165	436
275	165	435
276	166	434
277	166	433
278	167	432
279	167	431
280	168	430
281	169	430
282	169	429
283	169	428
284	170	427
285	171	426
286	171	426
287	171	424
288	172	424
289	172	423
290	173	422
291	173	421
292	174	420
293	174	419
294	175	418
295	175	417
296	176	416
297	176	415
298	176	414
299	177	413
300	177	412
301	178	412
302	178	411
303	179	410
304	179	409
305	180	409
306	180	408
307	181	407
308	181	406
309	182	405
310	182	404
311	183	403
312	183	402
313	184	401
314	184	401
