date,VT_Avg_Temp(F),VT_PRCP(mm),ME_Avg_Temp(F),ME_PRCP(mm),CT_Avg_Temp(F),CT_PRCP(mm),MA_Avg_Temp(F),MA_PRCP(mm),CT_Conf_Cases,VT_Conf_Cases,ME_Conf_Cases,MA_Conf_Cases,weekday
2020-01-22,26.96,0.0,19.04,0.0,18.32,0.0,22.46,0.0,0.0,0.0,0.0,0.0,2
2020-01-23,27.14,0.0,26.6,0.3,23.72,0.0,32.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-24,30.56,0.0,29.48,0.0,33.08,0.0,35.42,0.0,0.0,0.0,0.0,0.0,4
2020-01-27,34.52,1.3,31.46,1.0,38.84,0.0,39.019999999999996,0.0,0.0,0.0,0.0,0.0,0
2020-01-28,30.02,0.3,21.560000000000002,0.0,36.68,0.0,37.4,0.0,0.0,0.0,0.0,0.0,1
2020-01-29,19.58,0.0,13.100000000000001,0.0,34.34,0.0,34.52,0.0,0.0,0.0,0.0,0.0,2
2020-01-30,16.7,0.0,14.719999999999999,0.0,26.240000000000002,0.0,25.88,0.0,0.0,0.0,0.0,0.0,3
2020-01-31,22.46,0.0,22.1,0.0,28.94,0.3,32.36,0.0,0.0,0.0,0.0,0.0,4
2020-02-03,34.52,0.0,27.5,0.0,37.58,0.0,35.96,0.0,0.0,0.0,0.0,0.0,0
2020-02-04,31.1,0.0,25.7,0.0,36.68,0.0,37.4,0.0,0.0,0.0,0.0,0.0,1
2020-02-05,26.06,0.0,19.04,0.0,39.74,0.3,34.88,2.5,0.0,0.0,0.0,0.0,2
2020-02-06,23.18,10.2,16.7,5.3,32.18,9.1,33.98,11.4,0.0,0.0,0.0,0.0,3
2020-02-07,22.1,22.6,18.14,25.4,34.88,8.4,44.42,11.4,0.0,0.0,0.0,0.0,4
2020-02-10,31.64,0.8,24.08,3.0,36.68,6.9,38.480000000000004,3.3,0.0,0.0,0.0,0.0,0
2020-02-11,30.02,1.3,24.08,0.0,39.019999999999996,3.3,40.46,6.9,0.0,0.0,0.0,0.0,1
2020-02-12,33.98,0.0,27.5,0.0,38.84,0.0,37.4,0.0,0.0,0.0,0.0,0.0,2
2020-02-13,23.0,3.8,17.6,1.8,36.5,16.5,35.96,16.3,0.0,0.0,0.0,0.0,3
2020-02-14,2.120000000000001,0.0,0.0,0.0,28.94,0.0,27.5,0.0,0.0,0.0,0.0,0.0,4
2020-02-18,24.98,2.8,12.2,10.9,31.1,4.3,32.0,3.8,0.0,0.0,0.0,0.0,1
2020-02-19,28.04,0.0,16.7,0.3,37.58,0.0,39.019999999999996,1.5,0.0,0.0,0.0,0.0,2
2020-02-20,11.120000000000001,0.0,3.5599999999999987,0.0,27.68,0.0,27.86,0.0,0.0,0.0,0.0,0.0,3
2020-02-21,11.66,0.0,10.760000000000002,0.0,22.64,0.0,22.46,0.0,0.0,0.0,0.0,0.0,4
2020-02-24,43.519999999999996,0.0,36.5,0.0,43.34,0.0,46.94,0.0,0.0,0.0,0.0,0.0,0
2020-02-25,36.5,1.0,39.38,0.0,46.04,4.6,48.019999999999996,0.0,0.0,0.0,0.0,0.0,1
2020-02-26,32.0,0.3,33.62,0.0,44.42,2.0,42.980000000000004,5.6,0.0,0.0,0.0,0.0,2
2020-02-27,33.62,14.0,28.04,12.4,42.62,25.7,43.519999999999996,19.1,0.0,0.0,0.0,0.0,3
2020-02-28,26.6,1.0,20.119999999999997,0.3,32.54,0.0,33.98,0.0,0.0,0.0,0.0,0.0,4
2020-03-02,32.0,0.0,17.060000000000002,4.6,37.58,0.0,36.5,0.0,0.0,0.0,0.0,1.0,0
2020-03-03,44.06,2.8,39.56,0.0,51.260000000000005,3.8,55.94,0.0,0.0,0.0,0.0,0.0,1
2020-03-04,41.54,0.0,32.0,6.6,48.019999999999996,0.0,46.94,2.5,0.0,0.0,0.0,0.0,2
2020-03-05,37.04,0.0,30.02,0.0,43.16,0.0,42.980000000000004,0.0,0.0,0.0,0.0,4.0,3
2020-03-06,34.52,0.0,24.62,0.8,37.76,0.0,37.4,0.0,0.0,0.0,0.0,5.0,4
2020-03-09,52.879999999999995,0.0,37.94,0.0,54.86,0.0,56.480000000000004,0.0,0.0,0.0,0.0,3.0,0
2020-03-10,46.94,3.0,33.62,0.5,57.379999999999995,0.0,57.019999999999996,0.0,0.0,0.0,0.0,9.0,1
2020-03-11,31.46,0.0,30.02,0.0,48.92,0.0,49.46,0.0,0.0,0.0,0.0,7.0,2
2020-03-12,39.019999999999996,0.0,25.52,0.0,41.9,1.8,38.480000000000004,0.0,0.0,0.0,0.0,9.0,3
2020-03-13,46.04,5.3,32.0,18.3,46.04,25.1,50.36,5.1,0.0,0.0,0.0,17.0,4
2020-03-16,28.58,0.0,17.060000000000002,0.0,33.26,0.0,32.0,0.0,2.0,0.0,0.0,38.0,0
2020-03-17,39.019999999999996,0.0,26.06,6.9,36.32,1.8,37.04,1.5,3.0,0.0,0.0,52.0,1
2020-03-18,39.019999999999996,0.0,27.5,0.0,44.24,0.0,41.0,0.0,4.0,0.0,0.0,59.0,2
2020-03-19,42.44,0.0,30.56,0.8,41.72,22.1,41.9,14.2,7.0,0.0,0.0,58.0,3
2020-03-20,51.44,3.6,39.92,1.3,47.84,1.5,52.879999999999995,0.8,11.0,0.0,0.0,74.0,4
2020-03-23,29.12,11.4,22.64,5.8,32.54,29.0,32.36,9.9,7.0,0.0,0.0,132.0,0
2020-03-24,33.44,0.0,30.56,0.5,39.2,0.0,42.44,45.7,27.0,0.0,0.0,142.0,1
2020-03-25,35.06,0.0,31.1,0.0,37.22,0.0,41.0,0.0,28.0,0.0,0.0,142.0,2
2020-03-26,43.88,1.0,34.52,0.0,42.26,0.0,41.9,0.0,22.0,0.0,0.0,187.0,3
2020-03-27,41.0,0.0,33.98,0.0,52.879999999999995,0.0,50.9,0.0,51.0,0.0,0.0,176.0,4
2020-03-30,41.54,9.1,30.02,6.4,41.18,0.3,40.46,12.2,54.0,0.0,0.0,255.0,0
2020-03-31,40.1,0.3,30.92,0.0,41.18,0.0,37.4,1.8,63.0,0.0,0.0,274.0,1
2020-04-01,37.04,0.0,32.54,1.8,41.0,0.0,35.42,0.0,76.0,0.0,0.0,271.0,2
