iter	RMSE
0	16.59771885
1	15.54014788
2	14.6393251
3	13.91569898
4	13.1462226
5	12.47313122
6	11.8807203
7	11.32323269
8	10.80388337
9	10.38208292
10	9.924088433
11	9.5686987
12	9.219834529
13	8.921116302
14	8.672815062
15	8.416682558
16	8.18476375
17	7.980352412
18	7.806075373
19	7.661385462
20	7.499492335
21	7.367845673
22	7.207628032
23	7.093661827
24	7.004233063
25	6.911766921
26	6.803118609
27	6.693576404
28	6.610432667
29	6.520226861
30	6.445417591
31	6.364210564
32	6.294406558
33	6.20576767
34	6.143225418
35	6.068644664
36	5.999843851
37	5.944185392
38	5.869756875
39	5.809264157
40	5.80422538
41	5.728950219
42	5.668355575
43	5.61972106
44	5.586484867
45	5.557521854
46	5.50697822
47	5.46560465
48	5.417293637
49	5.358819407
50	5.303216311
51	5.258361784
52	5.225680108
53	5.168475708
54	5.114916655
55	5.08816021
56	5.066594915
57	5.0177106
58	4.982145822
59	4.948403587
60	4.902148265
61	4.855219276
62	4.841860045
63	4.78025618
64	4.727192147
65	4.691361706
66	4.661344328
67	4.629586377
68	4.597056604
69	4.567929942
70	4.521053371
71	4.482508831
72	4.451530671
73	4.412360771
74	4.371857951
75	4.331129981
76	4.299666203
77	4.273407754
78	4.252887017
79	4.213493789
80	4.187290532
81	4.158663389
82	4.129594084
83	4.115514113
84	4.089312711
85	4.070094818
86	4.051925641
87	4.029161603
88	3.988985533
89	3.967297229
90	3.94460266
91	3.918280481
92	3.894525587
93	3.879662689
94	3.844533615
95	3.824195428
96	3.810631766
97	3.799615412
98	3.782753773
99	3.757587817
100	3.743013278
101	3.723486772
102	3.709975432
103	3.677039223
104	3.662473483
105	3.620273417
106	3.604568417
107	3.579374892
108	3.553720199
109	3.533149846
110	3.514366627
111	3.49339729
112	3.484604634
113	3.475854552
114	3.460168875
115	3.443671555
116	3.425692838
117	3.411256247
118	3.399736277
119	3.388018978
120	3.366673665
121	3.344333209
122	3.336498886
123	3.329008009
124	3.316394873
125	3.302434569
126	3.285387282
127	3.261222013
128	3.247003031
129	3.239803779
130	3.227535862
131	3.21320953
132	3.202239652
133	3.195130162
134	3.181369847
135	3.172972093
136	3.165914578
137	3.145224465
138	3.120268482
139	3.108988557
140	3.099869293
141	3.090203929
142	3.077881154
143	3.062174947
144	3.045652786
145	3.035727134
146	3.020097924
147	3.000469011
148	2.994346581
149	2.976112823
