iter	Passed	Remaining
0	1	247
1	3	264
2	4	240
3	6	224
4	7	216
5	8	210
6	9	204
7	11	198
8	12	194
9	13	190
10	14	187
11	15	183
12	17	181
13	18	178
14	19	176
15	20	173
16	21	172
17	26	192
18	33	228
19	34	227
20	36	224
21	38	221
22	39	219
23	41	216
24	42	214
25	47	227
26	49	223
27	50	220
28	52	217
29	53	215
30	55	212
31	56	209
32	58	206
33	59	203
34	61	201
35	62	199
36	64	196
37	65	194
38	67	192
39	69	190
40	69	185
41	71	183
42	73	181
43	74	179
44	76	177
45	77	175
46	78	172
47	79	169
48	81	167
49	82	164
50	83	162
51	84	159
52	86	157
53	87	155
54	88	152
55	89	150
56	90	148
57	92	145
58	93	143
59	94	141
60	95	139
61	96	137
62	97	135
63	98	133
64	100	131
65	101	129
66	102	127
67	103	125
68	105	123
69	106	121
70	107	119
71	108	117
72	109	115
73	110	113
74	112	112
75	113	110
76	114	108
77	115	106
78	116	104
79	117	103
80	119	101
81	120	99
82	121	98
83	122	96
84	124	94
85	125	93
86	127	92
87	128	90
88	129	88
89	130	87
90	132	85
91	133	84
92	134	82
93	135	80
94	137	79
95	138	77
96	139	76
97	141	74
98	142	73
99	143	71
100	144	70
101	145	68
102	147	67
103	148	65
104	149	64
105	150	62
106	152	61
107	153	59
108	154	58
109	156	56
110	157	55
111	158	53
112	159	52
113	160	50
114	162	49
115	163	47
116	164	46
117	165	44
118	167	43
119	168	42
120	169	40
121	170	39
122	171	37
123	173	36
124	174	34
125	175	33
126	177	32
127	178	30
128	180	29
129	181	27
130	183	26
131	184	25
132	186	23
133	187	22
134	188	20
135	190	19
136	192	18
137	194	16
138	195	15
139	197	14
140	199	12
141	201	11
142	202	9
143	204	8
144	206	7
145	207	5
146	209	4
147	211	2
148	213	1
149	215	0
