iter	RMSE
0	17.50609679
1	17.14686116
2	16.66094267
3	16.32757354
4	15.95696846
5	15.64822195
6	15.32800698
7	15.08210059
8	14.75002651
9	14.43910349
10	14.15503343
11	13.9318479
12	13.65274936
13	13.40606122
14	13.16065585
15	12.88928804
16	12.69723976
17	12.45605395
18	12.25593435
19	12.06988196
20	11.88430302
21	11.70151624
22	11.49505469
23	11.36227815
24	11.20644016
25	11.04440778
26	10.87443177
27	10.69124039
28	10.57709479
29	10.45036065
30	10.32917745
31	10.19735575
32	10.04929213
33	9.952498892
34	9.84685389
35	9.724871041
36	9.62613162
37	9.515295782
38	9.405324724
39	9.274924261
40	9.197152494
41	9.107625777
42	9.029957667
43	8.940369645
44	8.838498583
45	8.773242993
46	8.715909401
47	8.646571931
48	8.591690476
49	8.505194274
50	8.443280464
51	8.358148944
52	8.280787108
53	8.183374043
54	8.119385913
55	8.078523453
56	8.020284699
57	7.992967001
58	7.967413957
59	7.906241375
60	7.852918112
61	7.800864522
62	7.745621648
63	7.696354875
64	7.669700142
65	7.632610804
66	7.605145152
67	7.564610311
68	7.53639479
69	7.501049301
70	7.475302493
71	7.438044277
72	7.395186742
73	7.349428757
74	7.314515216
75	7.273956654
76	7.238910308
77	7.212040751
78	7.185039075
79	7.154119886
80	7.137962457
81	7.113107029
82	7.081438744
83	7.062366468
84	7.022209464
85	7.004461601
86	6.984610411
87	6.956855226
88	6.927049866
89	6.906434941
90	6.87351071
91	6.848791121
92	6.823759731
93	6.798236034
94	6.776099507
95	6.7596617
96	6.738497447
97	6.718970548
98	6.705447562
99	6.689469465
100	6.664767726
101	6.635703143
102	6.602499265
103	6.578482033
104	6.561727816
105	6.538824033
106	6.508614321
107	6.492500046
108	6.4725834
109	6.460039318
110	6.438696131
111	6.418535561
112	6.402067692
113	6.383378457
114	6.366779908
115	6.348159831
116	6.328527826
117	6.312374655
118	6.305094088
119	6.283794904
120	6.25256918
121	6.235054757
122	6.219984613
123	6.198167047
124	6.183991034
125	6.163538618
126	6.151543649
127	6.130811197
128	6.113131955
129	6.099091332
130	6.08342281
131	6.066123201
132	6.055630729
133	6.040403406
134	6.02713964
135	6.016104225
136	5.996752294
137	5.9824435
138	5.968314754
139	5.957605573
140	5.941676887
141	5.926757789
142	5.907769147
143	5.893354857
144	5.881919285
145	5.86544938
146	5.853648644
147	5.834489697
148	5.822816933
149	5.812389558
150	5.794625132
151	5.78387278
152	5.772326776
153	5.757700205
154	5.747764631
155	5.732675299
156	5.7182827
157	5.703230421
158	5.681762111
159	5.6737691
160	5.656043564
161	5.641735069
162	5.623596128
163	5.616665971
164	5.606335517
165	5.597432003
166	5.578771059
167	5.566900893
168	5.55278723
169	5.540686684
170	5.53257937
171	5.522479539
172	5.513296632
173	5.502761026
174	5.492663168
175	5.484114496
176	5.477107194
177	5.461256708
178	5.452930995
179	5.445888806
180	5.430484325
181	5.422953767
182	5.412138892
183	5.401720817
184	5.387250542
185	5.375938242
186	5.369527371
187	5.35740267
188	5.352371707
189	5.339756137
190	5.330245647
191	5.321675595
192	5.314804586
193	5.304830969
194	5.295222343
195	5.276429695
196	5.265698684
197	5.247338649
198	5.237573856
199	5.223613759
200	5.21497795
201	5.207959862
202	5.190306159
203	5.185072436
204	5.175689979
205	5.166630493
206	5.158927539
207	5.149133914
208	5.1396341
209	5.133376466
210	5.129138186
211	5.120480482
212	5.107941975
213	5.089540606
214	5.081502163
215	5.071804654
216	5.063874057
217	5.052300763
218	5.042805616
219	5.03248607
220	5.02342319
221	5.01318811
222	5.002037096
223	4.995190706
224	4.980505381
225	4.969297445
226	4.96382888
227	4.952239181
228	4.943623956
229	4.938668913
230	4.931082227
231	4.922997715
232	4.90898006
233	4.898622826
234	4.888174173
235	4.881928114
236	4.87355004
237	4.868805533
238	4.855997896
239	4.848828363
240	4.845965543
241	4.840101067
242	4.828004048
243	4.818488323
244	4.810496671
245	4.80491598
246	4.796292302
247	4.786391913
248	4.777143753
249	4.772726152
250	4.759954891
251	4.754696711
252	4.747710456
253	4.742380482
254	4.735827198
255	4.727287079
256	4.718366267
257	4.714616117
258	4.710999186
259	4.703582844
260	4.695534044
261	4.689964825
262	4.687638072
263	4.677555345
264	4.668333953
265	4.661680076
266	4.657958618
267	4.653524985
268	4.647406437
269	4.641356825
270	4.630368773
271	4.622929217
272	4.618674696
273	4.614013989
274	4.610513075
275	4.604242007
276	4.598481214
277	4.593067639
278	4.58767661
279	4.580629439
280	4.576142154
281	4.571248009
282	4.567732199
283	4.556791031
284	4.552980147
285	4.547665562
286	4.542072684
287	4.532875656
288	4.527593871
289	4.52329732
290	4.513031349
291	4.508927699
292	4.50465828
293	4.495388401
294	4.486013357
295	4.480093745
296	4.471274231
297	4.463418684
298	4.460483071
299	4.456965771
300	4.452343553
301	4.44254846
302	4.441852931
303	4.433124727
304	4.429291187
305	4.423757301
306	4.419939113
307	4.417821021
308	4.413155879
309	4.411002286
310	4.403821305
311	4.39851905
312	4.390148001
313	4.383880477
314	4.380178783
315	4.375080229
316	4.371514732
317	4.36717498
318	4.360172233
319	4.358095643
320	4.35338431
321	4.350003921
322	4.343089599
323	4.337846518
324	4.336448032
325	4.33409362
326	4.328806398
327	4.321220884
328	4.318265628
329	4.309621446
330	4.306143877
331	4.300724787
332	4.292203917
333	4.284403958
334	4.277740809
335	4.268569772
336	4.263749965
337	4.258408139
338	4.256412168
339	4.250820581
340	4.240308629
341	4.234347507
342	4.231062728
343	4.228214307
344	4.221558951
345	4.215215802
346	4.210296976
347	4.205009656
348	4.199958602
349	4.196249187
350	4.193536847
351	4.188463337
352	4.180386509
353	4.177411437
354	4.169949251
355	4.167710274
356	4.163185703
357	4.158589602
358	4.154208718
359	4.150914714
360	4.146093635
361	4.142642179
362	4.137847112
363	4.132282751
364	4.128231825
365	4.123836865
366	4.118203429
367	4.115068443
368	4.110712162
369	4.105799371
370	4.097913126
371	4.09342576
372	4.088245831
373	4.081953815
374	4.080245618
375	4.076097696
376	4.071609752
377	4.069877443
378	4.066181677
379	4.05951714
380	4.053557766
381	4.049700676
382	4.046104182
383	4.042495342
384	4.038116334
385	4.033789668
386	4.030893231
387	4.026866055
388	4.023526509
389	4.020138684
390	4.01406313
391	4.007575885
392	4.004540888
393	3.999927243
394	3.998514862
395	3.99308231
396	3.986410291
397	3.983063577
398	3.98012321
399	3.975698005
400	3.970699231
401	3.966854407
402	3.962232454
403	3.95816419
404	3.956569132
405	3.951981358
406	3.945312298
407	3.941141421
408	3.939566331
409	3.935243573
410	3.930931361
411	3.924793148
412	3.913883128
413	3.909681226
414	3.904829599
415	3.900968512
416	3.896630427
417	3.891486773
418	3.883969625
419	3.882258794
420	3.877571534
421	3.873348442
422	3.869544853
423	3.863842491
424	3.856357602
425	3.851966854
426	3.849993834
427	3.847096939
428	3.841720316
429	3.837117601
430	3.832022234
431	3.830573631
432	3.826319019
433	3.82265117
434	3.817916067
435	3.812870789
436	3.810026121
437	3.805878464
438	3.799909414
439	3.797144445
440	3.794904335
441	3.79160621
442	3.784863575
443	3.781504784
444	3.780178957
445	3.777021351
446	3.771265271
447	3.765759565
448	3.76145934
449	3.756537008
450	3.751922603
451	3.748015587
452	3.746680969
453	3.743463802
454	3.738872491
455	3.735151238
456	3.730781203
457	3.726682236
458	3.723273389
459	3.718788485
460	3.715612649
461	3.711829418
462	3.706469565
463	3.70250128
464	3.696251189
465	3.694496682
466	3.691573569
467	3.684794599
468	3.681247364
469	3.677878008
470	3.675174419
471	3.670699373
472	3.667384318
473	3.663185084
474	3.658798279
475	3.655588606
476	3.651460116
477	3.641452409
478	3.637895626
479	3.633306112
480	3.629050654
481	3.623171941
482	3.619096319
483	3.615022684
484	3.610941981
485	3.608228406
486	3.60669418
487	3.601903758
488	3.59807843
489	3.59515035
490	3.592280183
491	3.588562359
492	3.585267216
493	3.584146279
494	3.578552122
495	3.575691356
496	3.573020411
497	3.568501482
498	3.565364638
499	3.562294396
500	3.559486607
501	3.556326997
502	3.553198791
503	3.550332449
504	3.546473506
505	3.543046178
506	3.539479225
507	3.537414159
508	3.533057729
509	3.529744026
510	3.524275023
511	3.519171093
512	3.517335602
513	3.514046721
514	3.510710435
515	3.508537891
516	3.5051092
517	3.501023374
518	3.499584715
519	3.498048818
520	3.495684881
521	3.493216718
522	3.491162139
523	3.487717401
524	3.485089573
525	3.481256704
526	3.478836421
527	3.475803847
528	3.472950437
529	3.4703128
530	3.466775583
531	3.463672841
532	3.460480842
533	3.458073389
534	3.454370011
535	3.450776995
536	3.447021064
537	3.445252076
538	3.440470991
539	3.437222855
540	3.432447529
541	3.430511972
542	3.426217495
543	3.424192484
544	3.421495159
545	3.419630696
546	3.416730655
547	3.413552394
548	3.412573668
549	3.410321563
550	3.407515533
551	3.405199815
552	3.401185672
553	3.398160267
554	3.394948512
555	3.392101795
556	3.388894776
557	3.387031606
558	3.383157591
559	3.379700195
560	3.37742638
561	3.373295004
562	3.364510937
563	3.362003663
564	3.358564347
565	3.355949019
566	3.352844399
567	3.350202555
568	3.346719895
569	3.344951762
570	3.342576642
571	3.340489017
572	3.337106439
573	3.335531761
574	3.334052831
575	3.328946196
576	3.325997402
577	3.322352355
578	3.319526652
579	3.316332546
580	3.313115857
581	3.309522396
582	3.307133478
583	3.303546017
584	3.299697149
585	3.297742113
586	3.295880687
587	3.292541904
588	3.288928426
589	3.286927472
590	3.28564756
591	3.2826689
592	3.280209023
593	3.277031598
594	3.273192743
595	3.27029718
596	3.266539764
597	3.264710813
598	3.260940605
599	3.257716651
600	3.255315228
601	3.252409607
602	3.250841863
603	3.248177753
604	3.246172691
605	3.243406417
606	3.240248509
607	3.236413784
608	3.234673191
609	3.232258887
610	3.230348901
611	3.228207992
612	3.224503696
613	3.220851054
614	3.218451861
615	3.215362434
616	3.211891987
