iter	Passed	Remaining
0	1	1096
1	2	1039
2	2	928
3	3	879
4	4	847
5	4	818
6	5	803
7	6	792
8	7	780
9	7	772
10	8	765
11	9	759
12	10	759
13	11	781
14	11	783
15	12	783
16	13	782
17	14	778
18	15	777
19	15	774
20	16	773
21	17	772
22	18	781
23	19	779
24	19	778
25	20	773
26	21	768
27	21	762
28	22	763
29	23	760
30	24	755
31	24	751
32	25	749
33	26	744
34	26	740
35	27	739
36	28	738
37	29	736
38	29	735
39	30	732
40	31	730
41	31	728
42	32	726
43	33	724
44	34	723
45	34	722
46	35	726
47	36	724
48	37	722
49	37	721
50	38	718
51	39	715
52	39	713
53	40	711
54	41	710
55	41	707
56	42	705
57	43	702
58	43	700
59	44	699
60	45	697
61	46	699
62	47	699
63	47	697
64	48	695
65	49	693
66	49	692
67	50	690
68	51	688
69	51	686
70	52	684
71	52	682
72	53	680
73	54	678
74	55	678
75	55	676
76	56	675
77	57	673
78	57	672
79	58	671
80	59	669
81	59	668
82	60	666
83	61	665
84	61	664
85	62	663
86	63	662
87	64	669
88	66	676
89	66	677
90	68	681
91	69	684
92	71	693
93	72	695
94	73	697
95	74	697
96	75	698
97	76	700
98	76	699
99	77	698
100	78	698
101	79	698
102	80	697
103	80	696
104	81	694
105	82	693
106	82	692
107	83	690
108	84	689
109	85	687
110	85	686
111	86	685
112	87	683
113	87	682
114	88	681
115	89	680
116	89	679
117	90	677
118	91	676
119	92	675
120	92	674
121	93	673
122	94	671
123	94	670
124	95	669
125	96	668
126	97	667
127	97	666
128	98	665
129	99	664
130	100	663
131	100	662
132	101	661
133	102	660
134	102	659
135	103	658
136	104	657
137	105	656
138	105	656
139	106	655
140	107	654
141	108	653
142	108	653
143	109	652
144	110	651
145	111	650
146	111	649
147	112	648
148	113	647
149	114	646
150	114	644
151	115	643
152	116	642
153	116	641
154	117	640
155	118	639
156	118	638
157	119	636
158	120	635
159	120	634
160	121	633
161	122	632
162	122	631
163	123	629
164	124	628
165	124	627
166	125	626
167	126	625
168	126	624
169	127	623
170	128	622
171	129	621
172	129	620
173	130	619
174	131	618
175	131	617
176	132	615
177	133	614
178	133	613
179	134	612
180	135	611
181	135	610
182	136	609
183	137	607
184	137	606
185	138	605
186	139	604
187	139	603
188	140	602
189	141	601
190	141	600
191	142	599
192	143	598
193	143	596
194	144	595
195	144	594
196	145	593
197	146	592
198	146	591
199	147	590
200	148	589
201	148	588
202	149	587
203	150	586
204	150	585
205	151	583
206	152	582
207	152	581
208	153	580
209	154	579
210	154	578
211	155	577
212	155	576
213	156	575
214	157	574
215	157	573
216	158	572
217	159	571
218	159	570
219	160	569
220	161	568
221	161	567
