iter	RMSE
0	16.93068611
1	16.60868234
2	16.30742025
3	15.98148272
4	15.60706436
5	15.31344079
6	14.96649115
7	14.69240237
8	14.37255182
9	14.0682716
10	13.79378044
11	13.51748106
12	13.28571953
13	13.0257261
14	12.78311022
15	12.56364105
16	12.37805019
17	12.20074549
18	12.00814931
19	11.84251572
20	11.69372567
21	11.52971661
22	11.37786119
23	11.24067396
24	11.09776973
25	10.94706264
26	10.78710667
27	10.6731146
28	10.52575766
29	10.4464228
30	10.32425898
31	10.18832098
32	10.10735118
33	9.988842474
34	9.898792739
35	9.79502482
36	9.660846771
37	9.572624587
38	9.49554544
39	9.415711987
40	9.353172818
41	9.287309077
42	9.216666361
43	9.156757821
44	9.101315661
45	9.011961927
46	8.948049568
47	8.863080371
48	8.785608432
49	8.715356642
50	8.664330112
51	8.611483094
52	8.548198688
53	8.503178577
54	8.456574841
55	8.393764573
56	8.361884314
57	8.321170752
58	8.276016907
59	8.212582
60	8.16937592
61	8.131992185
62	8.090676046
63	8.055552181
64	8.011282207
65	7.965134932
66	7.921409264
67	7.878166319
68	7.853105939
69	7.808986717
70	7.777913299
71	7.75109932
72	7.710426257
73	7.685880481
74	7.659092773
75	7.620651763
76	7.60086002
77	7.571360425
78	7.542270806
79	7.506647502
80	7.488200865
81	7.459085287
82	7.423561466
83	7.406436938
84	7.381933661
85	7.358652666
86	7.34345222
87	7.310279415
88	7.289753832
89	7.272399427
90	7.248544665
91	7.230851389
92	7.220147964
93	7.199258708
94	7.180433217
95	7.166583888
96	7.139785252
97	7.107854294
98	7.082534903
99	7.065191291
100	7.036393871
101	7.020585825
102	6.988923188
103	6.973731887
104	6.944719362
105	6.932660382
106	6.916487064
107	6.904987845
108	6.894071066
109	6.87603418
110	6.861762413
111	6.832877566
112	6.814655778
113	6.786580647
114	6.776196747
115	6.754700135
116	6.731463198
117	6.713693529
118	6.704485708
119	6.691045373
120	6.68069442
121	6.668270195
122	6.653732366
123	6.635446966
124	6.617255225
125	6.599157791
126	6.589062163
127	6.575363926
128	6.562474555
129	6.549145238
130	6.531759753
131	6.513328188
132	6.497494642
133	6.483889032
134	6.466978082
135	6.447393408
136	6.437768644
137	6.423544717
138	6.412225285
139	6.398326675
140	6.385501455
141	6.36886534
142	6.353873705
143	6.336469268
144	6.327638393
145	6.313722164
146	6.30372618
147	6.289828752
148	6.27214134
149	6.261660588
150	6.248500937
151	6.231697644
152	6.209418373
153	6.20162984
154	6.186787253
155	6.169363739
156	6.156929514
157	6.146475746
158	6.141227448
159	6.129085165
160	6.121792693
